event_id,state,district_or_region,locality,latitude,longitude,location_precision,location_accuracy_m,event_date,year,month,monsoon_phase,landslide_type,trigger_factor,record_type,reliability_score,fatalities,is_fatal,severity_class,injuries,description,source_url,data_source
1048378,Assam,Assam,Dhirenpara,26.13088435,91.71073619,High (<2km),1844,2005-08-24,2005,8,Monsoon (Jun-Sep),ND,rainfall (T),event,9,5,1,Moderate (3-5),,"The body of a one-year-old child was found at Dhirenpara this morning. The child’s mother was trapped in the rubble until reports last came in. “We found the body of infant Rahul Ali, while his mother, Anifa Begum, is believed to be still under the d",http://www.telegraphindia.com/1050826/asp/northeast/story_5157079.asp,UGLC
1048550,Assam,Assam,Guwahati,26.13140438,91.93086808,Medium (2-25km),15925,2005-08-24,2005,8,Monsoon (Jun-Sep),ND,rainfall (T),event,9,4,1,Moderate (3-5),,"At least five persons, four children and a woman, were killed in landslide at three different places of Guwahati on Wednesday.  Police said heavy rain in the city since Wednesday evening caused the landslide at the Fatashil Ambari, Maligaon and Santipur",http://timesofindia.indiatimes.com/articleshow/1210299.cms,UGLC
1048387,Assam,Assam,Fatasil Ambari,26.16175948,91.72188533,High (<2km),796,2005-08-24,2005,8,Monsoon (Jun-Sep),ND,rainfall (T),event,7,3,1,Moderate (3-5),,"At least five persons, four children and a woman, were killed in landslide at three different places of Guwahati on Wednesday.  Police said heavy rain in the city since Wednesday evening caused the landslide at the Fatashil Ambari, Maligaon and Santipur",http://timesofindia.indiatimes.com/articleshow/1210299.cms,UGLC
938387,Sikkim,Sikkim,Dikchu,27.40133744,88.52441984,High (<2km),351,2005-09-25,2005,9,Monsoon (Jun-Sep),ND,rainfall (T),event,5,3,1,Moderate (3-5),,"""""GFLD"", locality: 'Dikchu',"" description: """"""""Fifteen people have been killed in landslides and an avalanche in India's rain-lashed mountainous state of Sikkim"", local police said.  Seven members of a family died on Sunday when a landslide engulfed their house in the hillside village of Manzing,"" 100""""""""""""",http://www.abc.net.au/news/newsitems/200509/s1469741.htm,UGLC
1050584,Assam,Assam,Chandranathpur,24.96518283,92.69340028,High (<2km),1097,2006-06-12,2006,6,Monsoon (Jun-Sep),ND,rainfall (T),event,9,3,1,Moderate (3-5),,"In Assam, three women were killed Monday night in a landslide in Chandranathpur village in the southern Cachar district, about 310 km from the state’s main city of Guwahati.  ‘Three women died and eight more were seriously injured in the incident whe",http://indiaenews.com/2006-06/11235-floods-landslides-northeast-75000-displaced.htm,UGLC
1049243,Tripura,Tripura,CHURAIBARI,24.42795641,92.23424031,Medium (2-25km),2043,2006-06-13,2006,6,Monsoon (Jun-Sep),ND,rainfall (T),event,9,5,1,Moderate (3-5),,"Flash floods and mudslides triggered by heavy monsoon rains in the northeast killed eight people and displaced some 75,000 in Assam and Tripura, officials said Tuesday.  A Tripura government spokesman said five people, including three children, were kil",http://indiaenews.com/2006-06/11235-floods-landslides-northeast-75000-displaced.htm,UGLC
938444,Sikkim,Sikkim,East Sikkim,27.29288574,88.67133148,Medium (2-25km),17358,2006-08-03,2006,8,Monsoon (Jun-Sep),ND,rainfall (T),event,9,1,1,Minor (1-2),,"Rongli subdivision in East Sikkim has been cut off from the rest of the state following landslides triggered by heavy rainfall that lashed the area last night, claiming the life of a five-year-old girl besides destroying many houses in the sub-division.T",http://www.thestatesman.net/page.arcview.php?clid=10&id=152557&usrsess=1,UGLC
938422,Sikkim,Sikkim,"Sikkim, 13 km north of Gangtok",27.4459,88.6193,Medium (2-25km),5000,2007-04-11,2007,4,Pre-monsoon (Apr-May),earth slide,rainfall (T),report,9,0,0,No fatalities,0.0,"WebIndia123.com' '1000 tourists stranded, more than 180 vehicles stranded, 150 m stretch of road was covered, occurred at 2:00 local time",http://news.webindia123.com/news/ar_showdetails.asp?id=704100915&cat=&n_date=20070410,UGLC
938415,Sikkim,Sikkim,"Pangthang, on road b/t Gangtok and North Sikkim",27.3383,88.6069,Low (>25km),50000,2007-05-23,2007,5,Pre-monsoon (Apr-May),earth slide,rainfall (T),report,9,0,0,No fatalities,0.0,Sikkim times.com' 'along highway,http://www.thestatesman.net/page.arcview.php?clid=10&id=184730&usrsess=1,UGLC
938390,Sikkim,Sikkim,North Sikkim,27.74367525,88.52635367,Low (>25km),36744,2007-06-27,2007,6,Monsoon (Jun-Sep),ND,rainfall (T),event,9,2,1,Minor (1-2),,Two people were killed and several injured in a landslide that occurred around 12: 30 a.m. at Takchi Bojoghari village under Kabi Tingda area in North Sikkim about 8 km from Gangtok. The landslide also left the nearby houses in danger.  The dead were ide,http://www.thestatesman.net/page.news.php?clid=10&theme=&usrsess=1&id=161007,UGLC
1048380,Assam,Assam,Garchuk,26.10481582,91.7127005,High (<2km),955,2007-07-13,2007,7,Monsoon (Jun-Sep),ND,rainfall (T),event,7,2,1,Minor (1-2),,A woman Rita Das and her 8-month-old son Arpan Das were killed in a landslide caused by the massive cloudburst today afternoon. They were killed when sliding landmass covered them near their Katahbari residence under Garchuk police outpost in the city at,http://www.assamtribune.com/scripts/details.asp?id=jul1407/at012,UGLC
938328,Sikkim,Sikkim,Bardang near Singtam,27.1499,88.38,Medium (2-25km),25000,2007-07-16,2007,7,Monsoon (Jun-Sep),mudslide,rainfall (T),report,9,0,0,No fatalities,0.0,thestatesman.net' 'closest to predicted location of Gauhati (336.70 km),http://www.thestatesman.net/page.news.php?clid=10&theme=&usrsess=1&id=162949,UGLC
1048446,Assam,Assam,Guwahati,26.1699,91.7986,Medium (2-25km),25000,2007-07-19,2007,7,Monsoon (Jun-Sep),earth slide,rainfall (T),report,9,6,1,Severe (5+),0.0,Saharas Samay' 'closest to predicted location of Gauhati (167.34 km),http://www.saharasamay.com/samayhtml/articles.aspx?newsid=80536,UGLC
1048441,Assam,Assam,Ganesh Nagar,26.19758217,91.79057805,High (<2km),897,2007-07-19,2007,7,Monsoon (Jun-Sep),ND,rainfall (T),event,7,7,1,Severe (5+),,"At least six persons were killed when their house was buried in a landslide in the Ganesh Nagar area here today.  The six persons belonging to the same family were sleeping when the landslide, caused by torrential rain in the early hours, buried their ho",http://www.hindu.com/thehindu/holnus/004200707191540.htm,UGLC
1050662,Mizoram,Mizoram,Lawngtlai,22.533,92.899,Medium (2-25km),25000,2007-07-30,2007,7,Monsoon (Jun-Sep),earth slide,rainfall (T),report,9,0,0,No fatalities,0.0,Red Cross - Field reports' 'road networks disrupted,https://www-secure.ifrc.org/dmis/prepare/view_report.asp?ReportID=2987,UGLC
1050668,Mizoram,Mizoram,Saiha,22.479,92.967,Medium (2-25km),25000,2007-07-30,2007,7,Monsoon (Jun-Sep),earth slide,rainfall (T),report,9,0,0,No fatalities,0.0,Red Cross - Field reports' 'road networks disrupted,https://www-secure.ifrc.org/dmis/prepare/view_report.asp?ReportID=2987,UGLC
938236,Sikkim,Sikkim,DENTAM,27.25638429,88.13612339,High (<2km),1011,2007-08-02,2007,8,Monsoon (Jun-Sep),ND,rainfall (T),event,9,3,1,Moderate (3-5),,"Three members of a family - a mother and her two children – were killed today when their house collapsed in a landslide in West Sikkim.\nThe landslide took place in the early hours today at Dantam, DIG (range) Mr Akshay Sachdeva said.  Kumar Pradhan, hi",http://www.thestatesman.net/page.news.php?clid=1&theme=&usrsess=1&id=164902,UGLC
1050913,Manipur,Manipur,Tamenglong,24.9667,93.55,Medium (2-25km),5000,2007-08-26,2007,8,Monsoon (Jun-Sep),mudslide,rainfall (T),report,9,1,1,Minor (1-2),0.0,"kanglaonline.com' 'man killed along road cut, many events in this area affecting people and livestock, occurred at 5:30 pm",http://www.kanglaonline.com/index.php?template=headline&newsid=39058&typeid=1,UGLC
1050834,Manipur,Manipur,Tamenglong,24.95138801,93.52811839,Low (>25km),36550,2007-08-26,2007,8,Monsoon (Jun-Sep),ND,rainfall (T),event,9,1,1,Minor (1-2),,Continuing mudslides in Tamenglong claimed one life while another was rescued by the people on Sunday even as many persons were left homeless yesterday.  Fresh mudslides occurred at different parts of the district as uninterrupted rain since the last thr,http://www.kanglaonline.com/index.php?template=headline&newsid=39058&typeid=1,UGLC
1050634,Assam,Assam,Shillong Road at Kuliang in the Jaintia Hills,25.2946,92.8339,,-99999,2007-08-26,2007,8,Monsoon (Jun-Sep),earth slide,rainfall (T),report,10,0,0,No fatalities,0.0,Telegraph India' 'Telegraph India,http://www.telegraphindia.com/1070830/asp/northeast/story_8253906.asp,UGLC
1057207,Manipur,Manipur,"Velnal village, Tamei sub-division and Toribari village (3 kilometer toward Tamei from Kangpokpi)",25.1333,93.9667,Medium (2-25km),25000,2007-08-31,2007,8,Monsoon (Jun-Sep),earth slide,rainfall (T),report,9,0,0,No fatalities,0.0,"kanglaonline.com' 'multiple events occurring over 3 days, isolated 70 villages along IT roadway",http://www.kanglaonline.com/index.php?template=headline&newsid=39138&typeid=2,UGLC
938381,Sikkim,Sikkim,"National Highway 31A between Rangpo and Tarkhola, in East Sikkim",27.201,88.4883,Medium (2-25km),25000,2007-09-07,2007,9,Monsoon (Jun-Sep),earth slide,rainfall (T),report,9,0,0,No fatalities,0.0,thestatesman.net' 'over 18 places along road disrupted traffic and blocked areas,http://www.thestatesman.net/page.news.php?clid=10&id=169368&usrsess=1,UGLC
1057438,Manipur,Manipur,"Lower Shajouba village near Tadubi along NH 39, Manipur",25.0604,93.9877,Low (>25km),50000,2007-09-08,2007,9,Monsoon (Jun-Sep),earth slide,rainfall (T),report,9,0,0,No fatalities,0.0,"kanglaonline.com' 'occurred along NH 39, unsure of exact location",http://www.kanglaonline.com/index.php?template=headline&newsid=39218&typeid=2,UGLC
938319,Sikkim,Sikkim,Hingdam village in South Sikkim,27.1667,88.35,Low (>25km),50000,2007-09-09,2007,9,Monsoon (Jun-Sep),earth slide,rainfall (T),report,9,1,1,Minor (1-2),0.0,"Sikkim times.com' 'many people displaced, houses damaged",http://sikkimnews.blogspot.com/,UGLC
1057853,Manipur,Manipur,"Mao in Manipur, Phipema and Chunikhudima in Nagaland",25.4993,94.1192,Medium (2-25km),25000,2007-09-09,2007,9,Monsoon (Jun-Sep),earth slide,rainfall (T),report,9,0,0,No fatalities,0.0,"kanglaonline.com' 'along NH 39, multiple heavy events, blocked traffic significantly",http://www.kanglaonline.com/index.php?template=headline&newsid=39229&typeid=2,UGLC
1057817,Manipur,Manipur,Wamkhu village along the Tengnoupal-Joupi road in Chandel district,24.2451,94.0691,Medium (2-25km),25000,2007-09-10,2007,9,Monsoon (Jun-Sep),earth slide,rainfall (T),report,9,0,0,No fatalities,0.0,"e-Pao.net' '50 meter stretch on road, timing is unknown but it blocked traffic",http://www.e-pao.net/GP.asp?src=Snipp7..120907.sep07,UGLC
938445,Sikkim,Sikkim,East Sikkim,27.29288574,88.67133148,Medium (2-25km),17358,2007-09-10,2007,9,Monsoon (Jun-Sep),ND,rainfall (T),event,9,1,1,Minor (1-2),,Heavy rain last night triggered landslides that led to the death of one person in Sikkim.  Seventeen-year-old Sapna Rai died while her sister Rupa sustained multiple injuries on her face when a landslide struck their house at Rhodong village near Rhey in,http://www.telegraphindia.com/1070911/asp/siliguri/story_8300563.asp,UGLC
938423,Sikkim,Sikkim,Rhodong village near Rhey in East Sikkim,27.3425,88.6236,Medium (2-25km),10000,2007-09-10,2007,9,Monsoon (Jun-Sep),earth slide,rainfall (T),report,9,0,0,No fatalities,0.0,"Telegraph India' 'destroyed a house, killed 1 and injured 1",http://www.telegraphindia.com/1070911/asp/siliguri/story_8300563.asp,UGLC
1057807,Manipur,Manipur,"NH-39 at Imphal-Moreh section, Lokchao largest event",24.4279,94.0564,Low (>25km),50000,2007-09-11,2007,9,Monsoon (Jun-Sep),earth slide,rainfall (T),report,9,3,1,Moderate (3-5),0.0,"kanglaonline.com' 'multiple landslides (6 locations) along NH 39, blocked traffic",http://www.kanglaonline.com/index.php?template=headline&newsid=39255&typeid=1,UGLC
938382,Sikkim,Sikkim,"National Highway 31A, between Singtam and Rangpo",27.2084,88.4909,Medium (2-25km),5000,2007-09-11,2007,9,Monsoon (Jun-Sep),debris flow,rainfall (T),report,9,0,0,No fatalities,0.0,"thestatesman.net' 'occurred in afternoon, slide was 40 m long, disrupted traffic",http://www.thestatesman.net/page.news.php?clid=10&theme=&usrsess=1&id=169578,UGLC
1048449,Assam,Assam,Guwahati,26.1833,91.8,Medium (2-25km),10000,2007-09-13,2007,9,Monsoon (Jun-Sep),earth slide,rainfall (T),report,9,0,0,No fatalities,0.0,"Saharas Samay' 'landslide hit house and buried a family, occurred at 3am",http://www.saharasamay.com/samayhtml/articles.aspx?newsid=84791,UGLC
1048551,Assam,Assam,Guwahati,26.13140438,91.93086808,Medium (2-25km),15925,2007-09-15,2007,9,Monsoon (Jun-Sep),ND,rainfall (T),event,9,3,1,Moderate (3-5),,"Three people were killed and four wounded Saturday in landslides triggered by heavy rains in Assam, taking the death toll in floods and mudslides since July to 77, officials said.  A police official said three houses in Guwahati were demolished when a hi",http://www.newkerala.com/oct.php?action=fullnews&id=493,UGLC
1050607,Assam,Assam,Bilaipur,24.52029991,92.72826503,High (<2km),412,2007-09-16,2007,9,Monsoon (Jun-Sep),ND,rainfall (T),event,5,3,1,Moderate (3-5),,"Floods gave Assam no respite today with the rain-fed Brahmaputra and Barak remaining in spate and the death count touching 52, as many as 28 of them in the Barak Valley alone. Three children of a family were buried in a landslide at Bilaipur village of H",http://www.telegraphindia.com/1070917/asp/northeast/story_8324620.asp,UGLC
938298,Sikkim,Sikkim,Geyzing-Jorethang road and Naya Bazar-Legship road,27.2872,88.2816,Low (>25km),50000,2007-09-18,2007,9,Monsoon (Jun-Sep),earth slide,rainfall (T),report,9,0,0,No fatalities,0.0,thestatesman.net' 'along multiple roads in province,http://www.thestatesman.net/page.arcview.php?clid=10&id=198313&usrsess=1,UGLC
1050582,Mizoram,Mizoram,"National Highway, 45 Aizwal (Mizoram)",24.1293,92.6921,Low (>25km),50000,2007-09-29,2007,9,Monsoon (Jun-Sep),earth slide,rainfall (T),report,9,0,0,No fatalities,0.0,"Newkerala' 'unsure of exact day, landslides blocked road somewhere in province",http://www.newkerala.com/oct.php?action=fullnews&id=7498,UGLC
1057849,Manipur,Manipur,"Maram-Purul Road, Karong Assembly Constituency of Senapati district, Manipur",25.4379,94.1162,Low (>25km),50000,2007-10-19,2007,10,Post-monsoon (Oct-Nov),earth slide,rainfall (T),report,9,0,0,No fatalities,0.0,"e-Pao.net' 'occurred at 3 places along road (23 km), unsure of exact date within past 5 days",http://www.e-pao.net/GP.asp?src=5..211007.oct07,UGLC
1050772,Manipur,Manipur,National Highway 53 at Nungba in Tamenglong district of Manipur,24.75,93.4333,Medium (2-25km),25000,2007-10-21,2007,10,Post-monsoon (Oct-Nov),earth slide,rainfall (T),report,9,0,0,No fatalities,0.0,Hmar.net' 'blocked road,http://hmar.net/?p=1870,UGLC
1048552,Assam,Assam,Guwahati,26.13140438,91.93086808,Medium (2-25km),15925,2008-04-13,2008,4,Pre-monsoon (Apr-May),ND,rainfall (T),event,9,3,1,Moderate (3-5),,Three members of a family including a six-month pregnant woman were killed while several houses were damaged when a powerful storm followed by landslide hit city’s Bongali Basti area in Ramsali Hills near Kharghuli under Latasil Police station in the w,http://www.assamtribune.com/scripts/details.asp?id=apr1608/at05,UGLC
1057337,Manipur,Manipur,"near Kuloor church, in Manipur along National Highway",24.6596,93.9784,,-99999,2008-06-09,2008,6,Monsoon (Jun-Sep),earth slide,rainfall (T),report,10,0,0,No fatalities,0.0,"daijiworld' 'difficult to determine location, heavy rains throughout Manipur state","http://www.daijiworld.com/news/news_disp.asp?n_id=47500&n_tit=Mangalore:+Monsoon+Continues+to+Strike;+Landslide,+Houses+Collapse",UGLC
1057861,Assam,Assam,Lakhimpur,27.1743511,94.13502058,Low (>25km),30654,2008-06-14,2008,6,Monsoon (Jun-Sep),ND,rainfall (T),event,9,1,1,Minor (1-2),,"At least 14 people were killed and 30 injured in a series of landslides in Arunachal Pradesh on Saturday following incessant rain.  There were seven deaths reported from Naharlagun, six from Itanagar, and one in Banderdewa.  Papumpare deputy commissioner",http://sify.com/news/fullstory.php?id=14694665,UGLC
1057827,Assam,Assam,"Lakhimpur district, Bihpuria, Assam",27.2298,94.0989,Medium (2-25km),25000,2008-06-15,2008,6,Monsoon (Jun-Sep),earth slide,rainfall (T),report,9,17,1,Severe (5+),0.0,"Telegraph India' 'heavy flooding and landslides in Assam and Arunachal Pradesh, difficult to determine if casualties were from flooding or landslides",http://www.telegraphindia.com/1080616/jsp/northeast/story_9416169.jsp,UGLC
1054158,Manipur,Manipur,"Namkaoluang village, Tamenglong-Sangrung (Khongsang) road, NH-53, Manipur",24.9336,93.8275,Medium (2-25km),25000,2008-06-19,2008,6,Monsoon (Jun-Sep),mudslide,rainfall (T),report,9,0,0,No fatalities,0.0,kanglaonline' 'mudslide 30-40 feet long,http://www.kanglaonline.com/index.php?template=headline&newsid=42473&typeid=2,UGLC
1048553,Assam,Assam,Guwahati,26.13140438,91.93086808,Medium (2-25km),15925,2008-06-19,2008,6,Monsoon (Jun-Sep),ND,rainfall (T),event,9,1,1,Minor (1-2),,The weatherman today warned of heavy to very heavy rain in the city and the rest of the region in the next 48 hours as the residents of Guwahati grappled in waist-deep water at many places following last night’s cloudburst.  The Met office attributed t,http://www.telegraphindia.com/1080621/jsp/northeast/story_9441137.jsp,UGLC
1048400,Tripura,Tripura,Tripura,23.74450253,91.74176515,Low (>25km),57912,2008-07-15,2008,7,Monsoon (Jun-Sep),ND,rainfall (T),event,9,1,1,Minor (1-2),,"At least one person was killed and three others injured in landslides triggered by heavy monsoon rains in Tripura Tuesday. “Samra (Bhill) Munda,45, died on the spot when a mound of earth slipped on his house early Tuesday, while he was sleeping with h",http://www.thaindian.com/newsportal/uncategorized/one-killed-as-heavy-rain-triggers-landlsides-in-tripura_10071881.html,UGLC
1057562,Assam,Assam,"Kimin-Ziro road in Papum Pare district, road between Doimukh and Sagalee, Doimukh-Hoj road; Arunachal Pradesh",27.163,94.0,Low (>25km),50000,2008-08-14,2008,8,Monsoon (Jun-Sep),earth slide,rainfall (T),report,9,0,0,No fatalities,0.0,morungexpress' 'landslides triggered in various parts of Arunachal Pradesh,http://www.morungexpress.com/regional/1615.html,UGLC
938418,Sikkim,Sikkim,"Ranka, Sikkim and Louing road",27.337,88.609,Medium (2-25km),25000,2008-08-28,2008,8,Monsoon (Jun-Sep),earth slide,rainfall (T),report,9,0,0,No fatalities,0.0,"beacononline.wordpress' 'most affected villages of block level are Pabing, Changram, Doksing and Thami Dara",http://beacononline.wordpress.com/2008/08/31/landslide-victims-being-compensated/,UGLC
1057851,Assam,Assam,North Lakhimpur,27.2333,94.1167,Low (>25km),50000,2008-10-29,2008,10,Post-monsoon (Oct-Nov),earth slide,rainfall (T),report,9,0,0,No fatalities,0.0,"rttnews' 'flooding and landslides, Floods and landslides caused by heavy rains over the last three days have killed at least seven people and displaced thousands more in the northeastern states of India",http://www.rttnews.com/ArticleView.aspx?Id=758386&SMap=1,UGLC
1048329,Assam,Assam,"Kamrup, and Sonitpur, Assam",26.3333,91.25,Low (>25km),50000,2008-10-29,2008,10,Post-monsoon (Oct-Nov),earth slide,rainfall (T),report,9,7,1,Severe (5+),0.0,"in.reuters' 'flooding and landslides, Floods and landslides caused by heavy rains over the last three days have killed at least seven people and displaced thousands more in the northeastern states of India",http://in.reuters.com/article/topNews/idINIndia-36198420081029,UGLC
938396,Sikkim,Sikkim,"4th Mile, Lower Mangshila in North Sikkim",27.478,88.527,High (<2km),1000,2009-07-01,2009,7,Monsoon (Jun-Sep),earth slide,rainfall (T),report,7,0,0,No fatalities,0.0,Telegraph India' 'Landslides triggered by heavy rains hit an iron bridge on the North Sikkim Highway over Bar Khola at 4th Mile at around 5:40 am.,https://www.telegraphindia.com/1090707/jsp/siliguri/story_11202557.jsp,UGLC
938237,Sikkim,Sikkim,"Sombaria, West Sikkim",27.2644,88.1365,Medium (2-25km),10000,2009-08-19,2009,8,Monsoon (Jun-Sep),earth slide,rainfall (T),report,9,2,1,Minor (1-2),0.0,"beacononline.wordpress' 'Two persons were killed and 10 others were injured following a series of landslides and flashfloods triggered by incessant rains in Sombaria and Daramdin in west Sikkim since last night. According to the SDO, Soreng, Mr Bhim Thatal, Puspa Mani Pradhan an",http://beacononline.wordpress.com/2009/08/21/sikkim-landslides-disturb-power-lines-link-roads/,UGLC
938364,Sikkim,Sikkim,"Melli Chalisey, Sikkim",27.1344,88.4575,Medium (2-25km),5000,2009-08-20,2009,8,Monsoon (Jun-Sep),earth slide,rainfall (T),report,9,0,0,No fatalities,0.0,"beacononline.wordpress' 'Minor landslides have also occurred at Melli Chalisey where one kachha house belonging to Khem Bahadur Ghataney has been affected. According to the residents, the house belonging to Khem Bahadur, which has been tilting is likely to affect other nearby ho",http://beacononline.wordpress.com/2009/08/21/sikkim-landslides-disturb-power-lines-link-roads/,UGLC
938239,Sikkim,Sikkim,Sombaria and Daramdin area,27.13798514,88.15516991,Medium (2-25km),2338,2009-08-20,2009,8,Monsoon (Jun-Sep),ND,rainfall (T),event,9,2,1,Minor (1-2),,Two persons were killed and ten others injured in flash flood and landslides due to incessant rains in west Sikkim today.\n\nPuspa Pradhan and Sameer Subba were killed and ten others were injured when a pile of boulders and mudslides fell on their houses d,http://www.ptinews.com/news/240261_2-killed-in-landslides-in-West-Sikkim,UGLC
1050739,Assam,Assam,Lumding-Badarpur section in North Cachar Hills district,25.5215,93.1645,Medium (2-25km),25000,2009-08-20,2009,8,Monsoon (Jun-Sep),earth slide,rainfall (T),report,9,0,0,No fatalities,0.0,"prokerala' 'The rail services between rest of India and southern Assam, Tripura, Mizoram and Manipur have been suspended since Aug 20 following extensive landslides on the Lumding-Badarpur section in North Cachar Hills district",http://www.prokerala.com/news/articles/a75292.html,UGLC
938397,Sikkim,Sikkim,"NH31A, Mile 27 near Rambi",27.1761,88.5287,Medium (2-25km),25000,2009-08-20,2009,8,Monsoon (Jun-Sep),mudslide,rainfall (T),report,9,0,0,No fatalities,0.0,"beacononline.wordpress' 'Vehicles ply on 27 Mile, a landslide-affected stretch of NH31A, after fresh mudslide on Monday. The rain-triggered landslides and cave-ins have reduced the highway to a potholed and slushy track at numerous places, leading to frequent traffic jams and in",http://beacononline.wordpress.com/2009/08/25/kalimpong-highway-doom-for-hill-economy/,UGLC
1050792,Manipur,Manipur,"Tamei, Tamenglong district on Imphal-Tamenglong (IT) road",24.9925,93.5,Medium (2-25km),10000,2009-08-20,2009,8,Monsoon (Jun-Sep),earth slide,rainfall (T),report,9,0,0,No fatalities,0.0,"kanglaonline' 'Landslides on the Imphal-Tamenglong (IT) road have put the people of Tamei, Tamenglong district in difficult times as the stock of essential supplies required for daily use are running short and the concerned department of the state government is not doi",http://www.kanglaonline.com/index.php?template=headline&newsid=48686&typeid=2,UGLC
938454,Sikkim,Sikkim,"17th Mile towards Tsomgo Lake, near Kyongsala, Sikkim",27.3746,88.7648,Medium (2-25km),25000,2009-08-26,2009,8,Monsoon (Jun-Sep),earth slide,rainfall (T),report,9,0,0,No fatalities,0.0,beacononline.wordpress' 'A major landslide at 17th Mile towards Tsomgo Lake has become a major factor of disappointment for the tourists visiting Sikkim. Almost all the tourists visiting Sikkim have expressed dissatisfaction for losing their chance to visit the famous high altit,http://beacononline.wordpress.com/2009/08/28/sikkim-landslides-at-17th-mile-%E2%80%93-the-bane-of-tourism/,UGLC
1050706,Assam,Assam,between Mahur and Phaiding railway stations on Barail hills (Mahur and Barail hills located),25.1718,93.123,Medium (2-25km),10000,2009-08-27,2009,8,Monsoon (Jun-Sep),earth slide,rainfall (T),report,9,0,0,No fatalities,0.0,"prokerala' 'The landslides, triggered by torrential rains, took place between Mahur and Phaiding railway stations. The landslides and rock slips damaged the tracks extensively. A 100-metre stretch of track between Mahur and Phaiding had gone under the mud and soil t",http://www.prokerala.com/news/articles/a75292.html,UGLC
